State_County,Average of Intra Annual Precipitation,Average of Heat Degree Hours,Average of Growing Degree Days,Average of Season Length,Average of Chill Hours
IL_Williamson,199,530,5932,256,727
IL_Winnebago,162,258,4644,217,868
IL_Woodford,155,399,5156,229,840
IN_Adams,153,256,5014,235,875
IN_Allen,154,249,4900,231,886
IN_Bartholomew,177,325,5388,241,803
IN_Benton,159,308,5051,231,849
IN_Blackford,157,219,4974,234,862
IN_Boone,167,294,5124,234,828
IN_Brown,181,281,5305,241,808
IN_Carroll,160,305,5110,236,865
IN_Cass,159,279,5008,233,867
IN_Clark,185,397,5707,250,741
IN_Clay,184,363,5408,241,810
IN_Clinton,162,277,5076,235,848
IN_Crawford,201,400,5700,247,714
IN_Daviess,196,440,5693,250,766
IN_Dearborn,185,228,5142,234,818
IN_Decatur,181,273,5293,241,812
IN_DeKalb,153,244,4852,230,900
IN_Delaware,160,236,5025,233,847
IN_Dubois,197,410,5701,250,742
IN_Elkhart,152,225,4825,233,910
IN_Fayette,172,248,5088,231,832
IN_Floyd,188,400,5730,251,736
IN_Fountain,165,331,5191,236,837
IN_Franklin,175,274,5212,234,818
IN_Fulton,160,252,4891,230,873
IN_Gibson,195,505,5843,256,759
IN_Grant,160,251,5007,233,861
IN_Greene,153,265,5302,234,723
IN_Hamilton,165,269,5081,234,837
IN_Hancock,176,276,5161,237,832
IN_Harrison,185,405,5763,252,724
IN_Hendricks,171,293,5165,235,822
IN_Henry,170,218,4960,229,836
IN_Howard,164,275,5033,233,855
IN_Huntington,155,261,4973,232,866
IN_Jackson,175,323,5466,239,759
IN_Jasper,161,292,4972,231,871
IN_Jay,157,237,5007,233,862
IN_Jefferson,185,312,5468,244,778
IN_Jennings,137,185,5182,230,686
IN_Johnson,178,290,5244,237,810
IN_Knox,195,461,5697,251,779
IN_Kosciusko,155,222,4846,231,886
IN_LaGrange,152,194,4697,228,911
IN_Lake,169,279,4893,228,872
IN_LaPorte,159,238,4870,236,913
IN_Lawrence,190,364,5518,243,775
IN_Madison,164,254,5085,236,851
IN_Marion,172,287,5227,239,825
IN_Marshall,158,254,4888,232,889
IN_Martin,198,409,5598,243,758
IN_Miami,160,268,4972,232,864
IN_Monroe,190,344,5463,243,797
IN_Montgomery,169,301,5091,231,825
IN_Morgan,178,300,5232,236,817
IN_Newton,161,319,5036,231,861
IN_Noble,153,213,4781,229,902
IN_Orange,193,384,5597,245,755
IN_Owen,189,328,5337,237,805
IN_Parke,177,379,5377,241,817
IN_Perry,203,421,5727,246,703
IN_Pike,196,454,5768,253,758
IN_Porter,164,255,4873,232,895
IN_Posey,195,523,5942,260,744
IN_Pulaski,159,271,4931,229,878
IN_Putnam,178,317,5209,236,818
IN_Randolph,161,206,4957,231,843
IN_Ripley,164,199,5135,232,769
IN_Rush,175,251,5121,234,832
IN_Saint Joseph,156,229,4831,234,911
IN_Scott,185,389,5624,246,763
IN_Shelby,175,302,5288,240,821
IN_Spencer,191,473,5949,261,721
IN_Starke,161,271,4907,231,891
IN_Steuben,154,188,4653,224,905
IN_Sullivan,160,348,5456,242,756
IN_Switzerland,183,329,5524,246,775
IN_Tippecanoe,160,304,5132,236,847
IN_Tipton,164,255,4985,230,842
IN_Union,169,246,5073,230,831
IN_Vanderburgh,198,521,5969,261,739
IN_Vermillion,170,391,5375,241,828
IN_Vigo,180,404,5493,245,811
IN_Wabash,160,256,4938,231,865
IN_Warren,162,316,5119,234,844
IN_Warrick,194,499,5917,258,736
IN_Washington,186,386,5612,246,757
IN_Wayne,166,222,4998,229,835
IN_Wells,154,236,4963,233,866
IN_White,159,296,5054,233,862
IN_Whitley,156,218,4822,229,884
KS_Allen,219,599,5954,250,669
KS_Anderson,210,597,5905,249,680
KS_Atchison,194,556,5659,241,721
KS_Barber,156,740,6069,241,613
KS_Barton,147,691,5810,233,644
KS_Bourbon,220,623,5999,251,670
KS_Brown,187,541,5532,235,726
KS_Butler,200,662,6000,247,647
KS_Chase,192,614,5829,242,670
KS_Chautauqua,216,667,6179,251,610
KS_Cherokee,227,633,6180,256,632
KS_Cheyenne,114,544,5108,203,668
KS_Clark,134,697,5846,229,604
KS_Clay,171,653,5775,239,683
KS_Cloud,159,625,5611,233,691
KS_Coffey,206,560,5770,243,687
KS_Comanche,144,741,6134,242,589
KS_Cowley,196,722,6251,254,613
KS_Crawford,227,638,6114,255,653
KS_Decatur,127,587,5207,205,659
KS_Dickinson,163,641,5816,239,654
KS_Doniphan,192,509,5550,239,743
KS_Douglas,179,520,5734,245,686
KS_Edwards,144,694,5858,233,626
KS_Elk,206,642,6066,249,630
KS_Ellis,131,647,5567,222,650
KS_Ellsworth,155,686,5780,232,648
KS_Finney,114,642,5554,217,625
KS_Ford,131,674,5769,228,623
KS_Franklin,203,586,5850,249,698
KS_Geary,127,464,5448,227,613
KS_Gove,107,552,5266,209,626
KS_Graham,129,619,5394,214,658
KS_Grant,104,677,5659,218,601
KS_Gray,123,646,5633,222,622
KS_Greeley,108,588,5226,203,640
KS_Greenwood,206,601,5903,245,664
KS_Hamilton,104,634,5414,208,611
KS_Harper,175,781,6296,252,611
KS_Harvey,185,687,5962,246,665
KS_Haskell,111,655,5681,222,609
KS_Hodgeman,127,676,5706,225,627
KS_Jackson,195,564,5654,238,705
KS_Jefferson,200,558,5717,244,714
KS_Jewell,154,577,5358,220,691
KS_Johnson,184,505,5731,246,691
KS_Kearny,109,646,5518,214,618
KS_Kingman,171,741,6096,246,638
KS_Kiowa,143,685,5860,234,625
KS_Labette,223,645,6127,252,635
KS_Lane,118,646,5520,216,630
KS_Leavenworth,201,566,5767,247,717
KS_Lincoln,137,637,5585,224,643
KS_Linn,210,587,5882,248,687
KS_Logan,95,520,5147,202,614
KS_Lyon,201,574,5780,243,688
KS_Marion,187,648,5837,241,668
KS_Marshall,183,545,5445,229,714
KS_McPherson,176,689,5899,242,663
KS_Meade,119,689,5820,227,604
KS_Miami,210,555,5800,248,708
KS_Mitchell,153,657,5590,227,677
KS_Montgomery,219,658,6158,252,623
KS_Morris,187,596,5719,240,682
KS_Morton,99,678,5713,221,593
KS_Nemaha,185,535,5489,232,721
KS_Neosho,222,633,6065,253,654
KS_Ness,127,671,5619,220,635
KS_Norton,133,580,5224,207,668
KS_Osage,197,565,5753,244,703
KS_Osborne,149,657,5499,219,665
KS_Ottawa,139,630,5695,232,640
KS_Pawnee,138,693,5820,232,637
KS_Phillips,138,627,5340,213,676
KS_Pottawatomie,189,582,5670,237,693
KS_Pratt,152,719,5999,240,628
KS_Rawlins,124,565,5126,203,667
KS_Reno,170,704,5962,243,662
KS_Republic,165,580,5457,227,701
KS_Rice,158,693,5889,240,657
KS_Riley,180,604,5674,236,688
KS_Rooks,139,639,5449,216,660
KS_Rush,137,686,5699,226,640
KS_Russell,137,649,5634,227,652
KS_Saline,172,701,5899,242,669
KS_Scott,115,639,5460,212,630
KS_Sedgwick,185,701,6057,251,655
KS_Seward,110,701,5864,228,596
KS_Shawnee,188,552,5719,241,696
KS_Sheridan,126,600,5316,211,657
KS_Sherman,117,527,5076,202,672
KS_Smith,146,619,5392,217,682
KS_Stafford,148,724,6000,241,638
KS_Stanton,99,677,5666,217,594
KS_Stevens,103,691,5802,225,592
KS_Sumner,183,755,6277,254,619
KS_Thomas,122,561,5160,204,660
KS_Trego,108,579,5401,215,627
KS_Wabaunsee,174,535,5661,238,679
KS_Wallace,112,589,5266,206,653
KS_Washington,174,596,5558,231,700
KS_Wichita,112,609,5319,207,637
KS_Wilson,217,644,6077,251,643
KS_Woodson,217,601,5947,249,666
KS_Wyandotte,204,550,5756,248,722
KY_Adair,194,409,5963,257,655
KY_Allen,198,503,6186,265,630
KY_Anderson,186,366,5708,250,719
KY_Ballard,205,575,6219,269,675
KY_Barren,197,487,6114,262,639
KY_Bath,171,348,5623,243,724
KY_Boone,147,224,5370,241,730
KY_Bourbon,173,360,5621,245,735
KY_Boyle,182,369,5844,255,694
KY_Bracken,172,306,5543,247,757
KY_Breckinridge,196,445,5946,259,691
KY_Bullitt,187,472,6032,263,689
KY_Butler,203,493,6008,255,670
KY_Caldwell,206,580,6339,273,632
KY_Calloway,220,585,6369,274,631
KY_Campbell,171,325,5557,249,780
KY_Carlisle,213,603,6283,269,655
KY_Carroll,183,381,5704,251,747
KY_Carter,165,294,5425,231,726
KY_Casey,192,337,5832,255,680
KY_Christian,208,546,6217,265,642
KY_Clark,171,354,5700,248,718
KY_Clay,174,262,5572,236,674
KY_Crittenden,196,548,6165,266,672
KY_Cumberland,193,420,6039,259,633
KY_Daviess,188,519,6068,264,706
KY_Edmonson,203,497,5937,249,660
KY_Estill,168,374,5820,248,689
KY_Fayette,174,347,5717,253,728
KY_Fleming,170,309,5541,244,744
KY_Floyd,150,367,5790,244,688
KY_Franklin,179,366,5675,248,730
KY_Fulton,214,628,6336,270,655
KY_Gallatin,180,350,5573,246,766
KY_Garrard,174,384,5888,257,693
KY_Grant,173,340,5638,252,770
KY_Graves,212,572,6309,270,635
KY_Grayson,199,436,5906,254,680
KY_Green,197,439,6007,258,654
KY_Greenup,153,307,5496,239,747
KY_Hancock,199,473,5998,264,718
KY_Hardin,192,425,5930,258,685
KY_Harlan,178,131,5480,245,681
KY_Harrison,171,361,5601,244,744
KY_Hart,197,441,5999,258,658
KY_Henderson,193,538,6091,266,716
KY_Henry,185,377,5670,249,743
KY_Hickman,213,598,6300,269,646
KY_Hopkins,194,580,6243,267,665
KY_Jackson,173,237,5453,234,699
KY_Jefferson,186,441,5908,259,717
KY_Jessamine,178,350,5798,257,713
KY_Kenton,173,320,5570,251,784
KY_Knox,178,299,5695,242,661
KY_Larue,194,404,5971,261,663
KY_Laurel,175,283,5737,249,671
KY_Lawrence,163,290,5432,228,715
KY_Lee,170,320,5678,242,693
KY_Lewis,168,306,5500,241,744
KY_Lincoln,180,341,5814,254,688
KY_Livingston,203,544,6175,267,664
KY_Logan,201,501,6104,260,650
KY_Lyon,206,618,6365,274,646
KY_Madison,170,366,5766,250,707
KY_Marion,190,398,5876,255,680
KY_Marshall,207,612,6331,272,647
KY_Mason,172,297,5462,241,754
KY_McCracken,204,567,6202,268,675
KY_McCreary,185,331,5809,248,645
KY_McLean,185,533,6124,265,698
KY_Meade,190,429,5919,258,695
KY_Menifee,177,291,5695,252,718
KY_Mercer,180,384,5874,257,696
KY_Metcalfe,191,440,6046,261,644
KY_Monroe,198,439,6107,265,628
KY_Montgomery,171,345,5662,246,724
KY_Morgan,166,312,5540,234,704
KY_Muhlenberg,195,533,6150,263,672
KY_Nelson,192,452,5997,261,678
KY_Nicholas,174,349,5593,244,736
KY_Ohio,194,508,6090,262,682
KY_Oldham,191,431,5740,250,737
KY_Owen,181,388,5702,251,745
KY_Pendleton,169,327,5537,245,765
KY_Perry,161,249,5649,243,679
KY_Pike,151,300,5661,243,698
KY_Powell,168,341,5676,246,714
KY_Pulaski,186,321,5817,253,671
KY_Robertson,173,323,5557,244,741
KY_Rockcastle,178,348,5847,255,674
KY_Rowan,172,328,5650,246,721
KY_Russell,194,351,5864,255,667
KY_Scott,173,362,5670,250,739
KY_Shelby,186,388,5629,243,732
KY_Simpson,198,502,6149,264,647
KY_Spencer,184,409,5752,248,714
KY_Taylor,198,393,5949,259,666
KY_Todd,204,506,6156,263,645
KY_Trigg,212,567,6296,269,630
KY_Trimble,188,334,5547,246,765
KY_Union,195,540,6087,264,712
KY_Warren,199,516,6085,258,654
KY_Washington,188,412,5918,258,687
KY_Wayne,187,337,5846,252,657
KY_Webster,191,556,6176,267,688
KY_Whitley,181,308,5722,242,653
KY_Wolfe,162,300,5568,235,703
KY_Woodford,182,366,5771,254,716
LA_Acadia Parish,254,821,8107,334,249
LA_Allen Parish,271,792,7918,326,276
LA_Ascension Parish,258,754,8022,331,244
LA_Assumption Parish,256,750,8078,332,232
LA_Avoyelles Parish,250,813,7871,322,296
LA_Beauregard Parish,261,798,7917,323,270
LA_Bienville Parish,244,798,7438,297,376
LA_Bossier Parish,231,843,7490,297,381
LA_Caddo Parish,237,852,7581,302,365
LA_Calcasieu Parish,270,766,8008,331,249
LA_Caldwell Parish,253,828,7565,306,370
LA_Cameron Parish,265,754,8129,340,225
LA_Catahoula Parish,250,816,7710,313,336
LA_Claiborne Parish,234,793,7341,294,399
LA_Concordia Parish,249,798,7730,316,328
LA_De Soto Parish,239,831,7554,298,356
LA_East Baton Rouge Parish,254,755,7909,326,265
LA_East Carroll Parish,246,816,7492,308,402
LA_East Feliciana Parish,254,734,7773,318,281
LA_Evangeline Parish,256,834,8053,330,263
LA_Franklin Parish,250,825,7604,309,363
LA_Grant Parish,252,842,7887,322,305
LA_Iberia Parish,258,723,8069,334,229
LA_Iberville Parish,248,755,8008,332,251
LA_Jackson Parish,248,818,7468,296,375
LA_Jefferson Davis Parish,262,779,8042,334,251
LA_La Salle Parish,252,810,7724,313,324
LA_Lafayette Parish,257,777,8087,336,239
LA_Lafourche Parish,276,691,8183,340,195
LA_Lincoln Parish,244,794,7428,297,381
LA_Livingston Parish,261,757,7922,324,260
LA_Madison Parish,246,797,7522,308,382
LA_Morehouse Parish,244,814,7463,303,394
LA_Natchitoches Parish,249,854,7752,309,328
LA_Ouachita Parish,245,832,7535,304,378
LA_Pointe Coupee Parish,244,762,7937,329,269
LA_Rapides Parish,256,835,7869,320,301
LA_Red River Parish,240,809,7483,294,367
LA_Richland Parish,247,806,7504,306,385
LA_Sabine Parish,242,812,7578,300,343
LA_Saint Charles Parish,270,721,8236,345,192
LA_Saint Helena Parish,255,732,7677,310,293
LA_Saint James Parish,258,736,8122,336,218
LA_Saint Landry Parish,251,801,8045,333,255
LA_Saint Martin Parish,257,766,8038,334,246
LA_Saint Mary Parish,267,651,8039,338,215
LA_Saint Tammany Parish,257,741,7794,316,265
LA_Tangipahoa Parish,258,750,7746,313,283
LA_Tensas Parish,245,807,7616,310,354
LA_Terrebonne Parish,276,697,8184,340,196
LA_Union Parish,242,813,7434,297,388
LA_Vermilion Parish,257,727,8067,335,231
LA_Vernon Parish,259,798,7773,314,300
LA_Washington Parish,254,737,7725,312,286
LA_Webster Parish,238,831,7530,298,369
LA_West Baton Rouge Parish,250,770,8003,332,257
LA_West Carroll Parish,240,817,7479,306,398
LA_West Feliciana Parish,250,749,7840,322,281
LA_Winn Parish,255,810,7627,305,340
MA_Berkshire,162,42,3980,204,888
MA_Bristol,173,59,4879,266,980
MA_Dukes,161,1,4735,269,942
MA_Essex,176,127,4588,240,983
MA_Franklin,165,115,4319,213,939
MA_Hampshire,163,123,4410,218,937
MA_Middlesex,171,66,4188,220,971
MA_Norfolk,173,155,4706,238,950
MA_Worcester,166,79,4227,214,945
MD_Allegany,137,273,5168,235,842
MD_Anne Arundel,166,404,6000,286,732
MD_Baltimore,168,316,5456,252,815
MD_Calvert,158,365,5991,287,718
MD_Caroline,154,397,5849,272,732
MD_Carroll,157,310,5405,250,831
MD_Cecil,165,377,5590,257,799
MD_Charles,158,408,6006,274,713
MD_Dorchester,161,434,6118,288,692
MD_Frederick,155,347,5496,251,813
MD_Garrett,149,39,4411,215,821
MD_Harford,171,342,5498,253,809
MD_Howard,164,337,5588,259,804
MD_Kent,159,405,5835,273,781
MD_Montgomery,158,338,5608,258,793
MD_Prince George's,0,6,24,24,12
MD_Queen Anne's,148,383,5815,272,742
MD_Saint Mary's,162,352,6053,286,683
MD_Somerset,163,354,6106,291,670
MD_Talbot,161,422,6009,284,735
MD_Washington,149,342,5406,248,841
MD_Wicomico,164,401,6005,277,680
MD_Worcester,167,331,5958,282,674
ME_Androscoggin,166,66,4029,212,937
ME_Aroostook,132,24,3359,187,838
ME_Cumberland,172,77,4063,211,949
ME_Franklin,168,33,3584,188,858
ME_Hancock,163,32,3910,218,975
ME_Kennebec,155,71,3964,205,911
ME_Knox,183,18,3928,221,966
ME_Lincoln,165,35,4029,223,979
ME_Oxford,166,54,3826,196,895
ME_Penobscot,148,52,3728,193,868
ME_Piscataquis,141,24,3308,178,773
ME_Sagadahoc,168,28,4065,228,992
ME_Somerset,154,45,3695,193,865
ME_Waldo,162,41,3973,216,944
ME_Washington,170,31,3737,205,908
ME_York,176,100,4206,218,951
MI_,124,40,3839,219,1046
MI_Alcona,115,99,3949,213,997
MI_Alger,131,79,3591,192,952
MI_Allegan,146,179,4559,230,1000
MI_Alpena,110,100,3885,210,991
MI_Antrim,124,84,3999,220,1053
MI_Arenac,123,119,4023,210,986
MI_Baraga,131,69,3473,182,850
MI_Barry,142,191,4583,226,969
MI_Bay,127,149,4313,225,1008
MI_Benzie,131,87,4133,234,1117
MI_Berrien,149,206,4823,241,973
MI_Branch,150,182,4629,226,936
MI_Calhoun,146,176,4577,225,952
MI_Cass,149,219,4763,232,940
MI_Charlevoix,124,107,4098,224,1063
MI_Cheboygan,120,43,3803,215,1011
MI_Chippewa,124,20,3486,203,934
MI_Clare,127,128,3968,200,930
MI_Clinton,132,182,4456,222,959
MI_Delta,125,43,3652,207,973
MI_Dickinson,135,100,3707,188,885
MI_Eaton,135,161,4458,221,952
MI_Emmet,121,23,3819,216,1018
MI_Genesee,124,158,4428,224,960
MI_Gladwin,126,152,4077,204,948
MI_Grand Traverse,123,110,3937,208,999
MI_Gratiot,130,182,4369,219,977
MI_Hillsdale,147,169,4535,220,914
MI_Houghton,122,63,3549,191,925
MI_Huron,121,111,4190,227,1024
MI_Ingham,127,153,4460,223,953
MI_Ionia,136,181,4436,221,968
MI_Iosco,119,120,3997,206,967
MI_Iron,134,53,3331,168,785
MI_Isabella,132,165,4234,213,975
MI_Jackson,134,158,4524,224,946
MI_Kalamazoo,149,216,4728,232,965
MI_Kalkaska,126,89,3784,200,933
MI_Kent,141,175,4386,219,981
MI_Lake,129,116,3886,197,934
MI_Lapeer,124,155,4420,224,968
MI_Leelanau,129,92,4207,237,1126
MI_Lenawee,140,207,4656,224,936
MI_Livingston,123,152,4469,224,956
MI_Luce,118,39,3529,199,937
MI_Mackinac,123,16,3464,198,940
MI_Macomb,124,169,4512,225,978
MI_Manistee,131,81,4171,235,1130
MI_Marquette,128,63,3332,167,800
MI_Mason,135,96,4259,231,1105
MI_Mecosta,135,137,4071,204,970
MI_Menominee,133,91,3775,198,934
MI_Midland,128,188,4383,221,998
MI_Missaukee,127,105,3801,195,909
MI_Monroe,133,215,4756,232,960
MI_Montcalm,136,176,4310,214,969
MI_Montmorency,116,107,3814,200,934
MI_Muskegon,141,130,4313,224,1034
MI_Newaygo,136,144,4131,208,982
MI_Oakland,125,141,4464,226,964
MI_Oceana,134,118,4186,221,1054
MI_Ogemaw,122,113,3877,196,914
MI_Ontonagon,126,72,3618,197,948
MI_Osceola,130,106,3844,195,910
MI_Oscoda,117,116,3864,199,927
MI_Otsego,123,88,3784,201,920
MI_Ottawa,140,160,4512,233,1041
MI_Presque Isle,116,85,3931,218,1034
MI_Saginaw,127,190,4466,226,988
MI_Saint Clair,122,135,4394,226,980
MI_Saint Joseph,153,215,4730,230,940
MI_Sanilac,120,135,4298,223,980
MI_Schoolcraft,119,36,3610,208,984
MI_Shiawassee,126,167,4430,222,955
MI_Tuscola,125,172,4416,228,999
MI_Van Buren,146,189,4683,235,992
MI_Washtenaw,131,180,4599,226,944
MI_Wayne,131,214,4858,242,998
MI_Wexford,129,95,3801,198,939
MN_Aitkin,148,105,3690,186,729
MN_Anoka,171,209,4245,205,790
MN_Becker,142,150,3775,188,693
MN_Beltrami,137,112,3553,179,689
MN_Benton,153,184,4033,196,736
MN_Big Stone,132,236,4168,197,696
MN_Blue Earth,162,255,4394,206,763
MN_Brown,156,249,4365,205,756
MN_Carlton,153,103,3600,180,760
MN_Carver,157,225,4318,209,782
MN_Cass,145,113,3707,187,722
MN_Chippewa,145,249,4278,202,729
MN_Chisago,161,193,4131,200,778
MN_Clay,137,208,3944,193,694
MN_Clearwater,137,117,3593,180,679
MN_Cook,144,28,3186,177,739
MN_Cottonwood,156,233,4300,201,747
MN_Crow Wing,147,131,3802,189,714
MN_Dakota,165,233,4373,210,797
MN_Dodge,172,216,4268,203,769
MN_Douglas,143,166,3983,195,677
MN_Faribault,172,237,4375,206,754
MN_Fillmore,177,193,4236,203,769
MN_Freeborn,173,213,4324,207,761
MN_Goodhue,170,228,4295,204,784
MN_Grant,137,211,4059,195,671
MN_Hennepin,160,212,4286,209,792
MN_Houston,179,192,4310,209,799
MN_Hubbard,144,108,3614,181,703
MN_Isanti,157,178,4056,198,766
MN_Itasca,144,93,3551,183,728
MN_Jackson,160,221,4293,200,740
MN_Kanabec,150,159,3911,191,739
MN_Kandiyohi,156,225,4241,202,726
MN_Kittson,121,153,3584,178,601
MN_Koochiching,134,88,3480,180,691
MN_Lac qui Parle,136,277,4308,199,721
MN_Lake,136,56,3248,169,706
MN_Lake of the Woods,133,102,3495,181,662
MN_Le Sueur,162,227,4332,207,768
MN_Lincoln,148,208,4154,196,727
MN_Lyon,149,239,4288,202,747
MN_Mahnomen,137,147,3741,186,678
MN_Marshall,121,163,3654,181,636
MN_Martin,164,227,4373,206,755
MN_McLeod,158,234,4307,206,761
MN_Meeker,159,228,4275,204,744
MN_Mille Lacs,155,180,4018,195,748
MN_Morrison,148,184,4005,194,720
MN_Mower,175,190,4254,205,758
MN_Murray,154,219,4245,199,740
MN_Nicollet,159,252,4387,207,767
MN_Nobles,156,226,4286,200,743
MN_Norman,134,199,3884,191,679
MN_Olmsted,171,209,4220,202,775
MN_Otter Tail,141,160,3896,193,671
MN_Pennington,130,152,3680,183,658
MN_Pine,155,139,3814,189,740
MN_Pipestone,152,213,4156,193,716
MN_Polk,127,166,3745,186,654
MN_Pope,144,196,4080,197,698
MN_Red Lake,132,151,3690,184,658
MN_Redwood,153,252,4334,203,748
MN_Renville,151,247,4321,205,746
MN_Rice,165,227,4319,206,779
MN_Rock,153,246,4298,197,735
MN_Roseau,126,117,3494,177,629
MN_Saint Louis,144,67,3419,177,758
MN_Scott,161,219,4310,206,774
MN_Sherburne,158,205,4143,201,768
MN_Sibley,156,246,4347,207,761
MN_Stearns,154,208,4143,200,728
MN_Steele,171,235,4345,206,766
MN_Stevens,139,206,4085,196,682
MN_Swift,143,231,4208,200,709
MN_Todd,147,169,3960,194,696
MN_Traverse,132,256,4164,196,683
MN_Wabasha,170,238,4320,205,803
MN_Wadena,145,125,3759,188,692
MN_Waseca,168,226,4323,206,758
MN_Washington,165,231,4359,210,809
MN_Watonwan,157,244,4379,205,753
MN_Wilkin,134,231,4034,194,656
MN_Winona,179,205,4269,205,795
MN_Wright,158,215,4235,205,771
MN_Yellow Medicine,143,259,4297,201,737
MO_Adair,192,416,5296,233,787
MO_Andrew,190,465,5359,232,753
MO_Atchison,185,449,5245,225,758
MO_Audrain,186,500,5584,241,754
MO_Barry,206,503,5908,246,633
MO_Barton,223,598,6023,251,654
MO_Bates,211,595,5899,248,684
MO_Benton,206,529,5752,242,688
MO_Bollinger,203,539,5873,247,688
MO_Boone,184,476,5641,245,730
MO_Buchanan,194,506,5535,237,741
MO_Butler,208,660,6325,266,654
MO_Caldwell,192,457,5328,227,744
MO_Callaway,162,412,5504,237,701
MO_Camden,200,537,5909,249,676
MO_Cape Girardeau,203,595,6041,255,694
MO_Carroll,195,506,5558,238,752
MO_Carter,206,557,5888,240,638
MO_Cass,205,565,5794,247,710
MO_Cedar,213,590,5975,250,667
MO_Chariton,193,477,5544,239,759
MO_Christian,201,464,5760,243,658
MO_Clark,182,452,5384,240,816
MO_Clay,197,482,5530,237,737
MO_Clinton,196,458,5371,230,740
MO_Cole,195,530,5750,246,728
MO_Cooper,198,508,5707,246,732
MO_Crawford,194,501,5651,233,681
MO_Dade,211,578,5997,252,657
MO_Dallas,202,521,5884,249,671
MO_Daviess,191,447,5303,229,753
MO_DeKalb,193,434,5304,230,755
MO_Dent,200,499,5852,248,668
MO_Douglas,198,482,5811,245,657
MO_Dunklin,207,695,6470,275,647
MO_Franklin,190,543,5752,242,712
MO_Gasconade,193,504,5658,239,709
MO_Gentry,190,437,5250,229,764
MO_Greene,202,509,5873,249,666
MO_Grundy,196,457,5311,229,763
MO_Harrison,192,421,5201,228,772
MO_Henry,207,556,5774,243,697
MO_Hickory,201,548,5896,249,676
MO_Holt,190,470,5348,231,753
MO_Howard,196,495,5647,244,747
MO_Howell,203,499,5887,246,647
MO_Iron,201,473,5711,240,679
MO_Jackson,209,528,5692,244,728
MO_Jasper,222,605,6097,255,640
MO_Jefferson,185,529,5799,246,715
MO_Johnson,202,535,5713,244,720
MO_Knox,182,461,5435,238,783
MO_Laclede,197,524,5900,250,670
MO_Lafayette,148,354,5378,231,667
MO_Lawrence,212,537,5922,249,645
MO_Lewis,177,467,5479,241,796
MO_Lincoln,162,493,5608,241,740
MO_Linn,192,462,5437,235,764
MO_Livingston,192,481,5427,233,757
MO_Macon,189,482,5446,235,769
MO_Madison,200,493,5683,237,691
MO_Maries,196,491,5701,242,705
MO_Marion,174,479,5518,242,794
MO_McDonald,208,568,6129,253,599
MO_Mercer,190,403,5156,226,779
MO_Miller,198,541,5815,247,708
MO_Mississippi,207,628,6289,269,673
MO_Moniteau,198,529,5808,250,723
MO_Monroe,184,499,5568,241,764
MO_Montgomery,174,518,5656,242,733
MO_Morgan,203,513,5792,247,702
MO_New Madrid,204,653,6337,271,678
MO_Newton,215,570,6047,251,621
MO_Nodaway,187,430,5191,225,763
MO_Oregon,203,571,6019,247,621
MO_Osage,190,515,5667,240,716
MO_Ozark,198,541,5999,247,620
MO_Pemiscot,208,664,6491,280,647
MO_Perry,194,576,5923,249,706
MO_Pettis,201,516,5696,243,722
MO_Phelps,199,491,5719,242,692
MO_Pike,172,487,5531,240,769
MO_Platte,198,538,5655,242,730
MO_Polk,208,543,5902,248,665
MO_Pulaski,199,507,5832,244,663
MO_Putnam,193,387,5115,225,784
MO_Ralls,180,497,5550,241,778
MO_Randolph,192,491,5625,244,763
MO_Ray,198,499,5545,237,738
MO_Reynolds,209,469,5713,238,660
MO_Ripley,210,625,6116,249,634
MO_Saint Charles,179,546,5799,249,744
MO_Saint Clair,207,586,5908,246,674
MO_Saint Francois,194,483,5705,241,700
MO_Saint Louis,182,556,5856,253,744
MO_Sainte Genevieve,188,534,5797,244,711
MO_Saline,175,445,5529,237,722
MO_Schuyler,191,404,5200,230,795
MO_Scotland,185,432,5297,235,806
MO_Scott,203,610,6197,266,689
MO_Shannon,203,506,5832,242,651
MO_Shelby,180,480,5494,238,773
MO_Stoddard,208,644,6248,265,676
MO_Stone,203,499,5858,244,644
MO_Sullivan,193,411,5216,228,777
MO_Taney,194,532,5956,245,624
MO_Texas,199,473,5767,244,671
MO_Vernon,217,613,5991,249,663
MO_Warren,177,525,5702,245,744
MO_Washington,185,489,5693,239,696
MO_Wayne,205,572,5903,242,657
MO_Webster,200,488,5862,250,670
MO_Worth,187,422,5189,226,764
MO_Wright,196,480,5801,246,668
MS_Adams,250,782,7748,318,319
MS_Alcorn,233,633,6678,277,520
MS_Amite,254,721,7596,306,310
MS_Attala,233,681,7083,289,420
MS_Benton,234,601,6594,274,531
MS_Bolivar,232,775,7188,303,481
MS_Calhoun,239,662,6940,284,457
MS_Carroll,243,684,7083,292,435
MS_Chickasaw,237,647,6855,282,474
MS_Choctaw,236,676,7004,284,432
MS_Claiborne,239,765,7529,304,344
MS_Clarke,231,714,7338,295,358
MS_Clay,231,704,7054,290,442
MS_Coahoma,233,756,7068,299,507
MS_Copiah,242,763,7586,309,329
MS_Covington,235,713,7490,303,332
MS_DeSoto,234,699,6893,292,524
MS_Forrest,248,748,7604,302,308
MS_Franklin,246,751,7597,304,318
MS_George,267,730,7549,297,302
MS_Greene,252,733,7514,296,314
MS_Grenada,245,715,7051,290,459
MS_Hancock,283,635,7827,331,240
MS_Harrison,282,718,7953,327,230
